influencerId,campaignId,views,likes,comments,shares
influencer_49,campaign_7,44001,1817,411,141
influencer_50,campaign_6,77552,1412,346,583
influencer_51,campaign_10,24897,1679,421,55
influencer_52,campaign_5,69148,4384,884,855
influencer_53,campaign_1,24483,1439,295,190
influencer_54,campaign_2,49555,516,95,47
influencer_55,campaign_8,18159,520,120,77
influencer_56,campaign_1,81077,1556,261,211
influencer_57,campaign_3,36920,571,145,123
influencer_58,campaign_2,93067,6857,1746,398
influencer_59,campaign_5,68121,767,194,289
influencer_60,campaign_4,70479,1757,383,156
influencer_61,campaign_7,90475,5725,1306,1764
influencer_62,campaign_5,20457,697,171,208
influencer_63,campaign_8,67557,2193,433,556
influencer_64,campaign_4,78189,363,68,85
influencer_65,campaign_6,79953,270,52,87
influencer_66,campaign_4,53995,1433,344,511
influencer_67,campaign_2,41757,2145,533,277
influencer_68,campaign_1,10692,360,92,60
influencer_69,campaign_1,46758,1579,306,248
influencer_70,campaign_8,73409,2466,385,429
influencer_71,campaign_4,72211,1730,364,589
influencer_72,campaign_5,66697,1283,322,188
influencer_73,campaign_8,38065,2041,603,390
influencer_74,campaign_7,93093,3886,1049,782
influencer_75,campaign_8,33606,1873,298,327
influencer_76,campaign_8,12534,478,93,49
influencer_77,campaign_6,95663,4799,1232,658
influencer_78,campaign_10,41397,948,148,230
influencer_79,campaign_2,92387,4865,679,975
influencer_80,campaign_6,2016,94,15,30
influencer_81,campaign_1,90789,2603,576,896
influencer_82,campaign_1,56591,1756,416,177
influencer_83,campaign_3,90812,3439,1098,1153
influencer_84,campaign_3,24247,1032,309,360
influencer_85,campaign_5,25300,434,89,84
influencer_86,campaign_1,75065,2620,484,265
influencer_87,campaign_10,83798,803,195,20
influencer_88,campaign_6,10268,497,78,143
influencer_89,campaign_7,87807,4327,751,1957
influencer_90,campaign_10,13185,467,74,198
influencer_91,campaign_3,64704,1834,339,751
influencer_92,campaign_4,87779,692,185,203
influencer_93,campaign_10,40099,2266,494,522
influencer_94,campaign_10,9571,47,9,21
influencer_95,campaign_10,39044,1654,355,203
influencer_96,campaign_10,52214,1375,392,439
influencer_97,campaign_10,62228,1838,372,251
influencer_98,campaign_3,49984,2935,721,101
influencer_99,campaign_1,41774,1637,295,400
influencer_100,campaign_8,3568,231,37,67
influencer_101,campaign_10,63592,1833,440,659
influencer_102,campaign_10,68563,2668,428,902
influencer_103,campaign_2,3695,263,64,22
influencer_104,campaign_1,49190,1474,291,195
influencer_105,campaign_8,6258,93,20,37
influencer_106,campaign_7,88538,1278,167,154
influencer_107,campaign_7,40504,1311,246,342
influencer_108,campaign_4,34159,1275,361,388
influencer_109,campaign_9,14986,393,94,61
influencer_110,campaign_6,62858,4313,904,406
influencer_111,campaign_2,13666,400,101,71
influencer_112,campaign_1,39660,2175,485,844
influencer_113,campaign_1,4561,246,47,66
influencer_114,campaign_9,27854,884,245,98
influencer_115,campaign_4,65505,2178,394,823
influencer_116,campaign_5,53251,341,74,65
influencer_117,campaign_3,23662,427,100,52
influencer_118,campaign_4,9392,185,55,38
influencer_119,campaign_8,31535,961,185,132
influencer_120,campaign_4,79603,4822,1066,509
influencer_121,campaign_9,53256,3616,725,249
influencer_122,campaign_9,90135,1688,436,360
influencer_123,campaign_6,36222,1538,254,628
influencer_124,campaign_2,78373,3560,821,1095
influencer_125,campaign_10,80575,4359,662,1097
influencer_126,campaign_7,97354,1418,277,508
influencer_127,campaign_9,85651,3523,604,901
influencer_128,campaign_6,64335,465,145,124
influencer_129,campaign_3,11965,457,109,26
influencer_130,campaign_7,25538,1014,163,191
influencer_131,campaign_5,71592,3297,923,819
influencer_132,campaign_1,99018,967,141,174
influencer_133,campaign_3,9110,533,133,142
influencer_134,campaign_5,80309,2773,677,670
influencer_135,campaign_7,28266,1633,515,537
influencer_136,campaign_3,53992,2584,469,341
influencer_137,campaign_6,83948,3235,591,356
influencer_138,campaign_5,99806,3363,645,1560
influencer_139,campaign_1,7910,387,82,52
influencer_140,campaign_10,91982,1179,231,302
influencer_141,campaign_6,1206,47,11,4
influencer_142,campaign_8,88054,888,168,86
influencer_143,campaign_1,88897,4223,1123,1380
influencer_144,campaign_2,24419,460,68,142
influencer_145,campaign_4,51636,619,124,258
influencer_146,campaign_2,51015,545,76,118
influencer_147,campaign_9,55268,2210,684,625
influencer_148,campaign_10,88939,5372,1344,1612
influencer_149,campaign_8,19141,114,22,10
influencer_150,campaign_8,81356,494,79,167
influencer_151,campaign_4,72910,2265,453,368
influencer_152,campaign_5,57044,1474,294,596
influencer_153,campaign_4,68214,753,112,125
influencer_154,campaign_9,34827,1432,262,449
influencer_155,campaign_2,56820,2582,522,631
influencer_156,campaign_8,63623,2723,508,670
influencer_157,campaign_2,82734,3527,493,787
influencer_158,campaign_1,76450,2302,446,1017
influencer_159,campaign_10,94426,4252,1035,213
influencer_160,campaign_3,23299,185,42,44
influencer_161,campaign_9,44585,636,147,62
influencer_162,campaign_3,65044,3554,718,1635
influencer_163,campaign_9,43557,2672,689,279
influencer_164,campaign_7,50080,375,81,66
influencer_165,campaign_10,3693,21,4,5
influencer_166,campaign_1,96003,1455,364,405
influencer_167,campaign_10,96259,3675,639,449
influencer_168,campaign_5,70163,1695,406,27
influencer_169,campaign_9,26939,156,23,29
influencer_170,campaign_3,49925,248,48,83
influencer_171,campaign_9,43941,2700,721,218
influencer_172,campaign_5,22834,1132,281,244
influencer_173,campaign_9,19047,1412,335,156
influencer_174,campaign_10,27105,1588,434,529
influencer_175,campaign_6,76766,5210,797,581
influencer_176,campaign_9,16707,649,110,124
influencer_177,campaign_7,22976,928,190,307
influencer_178,campaign_7,45262,1499,307,318
influencer_179,campaign_8,24776,847,148,289
influencer_180,campaign_7,31080,188,46,61
influencer_181,campaign_9,67842,3425,599,1381
influencer_182,campaign_9,62373,3140,927,684
influencer_183,campaign_6,7776,376,72,118
influencer_184,campaign_7,93787,3161,573,1400
influencer_185,campaign_2,56016,917,183,115
influencer_186,campaign_9,10474,45,8,9
influencer_187,campaign_1,59053,2031,490,640
influencer_188,campaign_1,22959,1383,288,579
influencer_189,campaign_3,6530,118,25,40
influencer_190,campaign_6,95856,6205,953,771
influencer_191,campaign_5,4748,194,40,34
influencer_192,campaign_2,98504,2907,677,970
influencer_193,campaign_9,99098,3242,753,277
influencer_194,campaign_10,14545,158,49,50
influencer_195,campaign_4,67199,2896,397,461
influencer_196,campaign_4,35766,1392,366,209
influencer_197,campaign_5,74530,688,149,226
influencer_198,campaign_8,94557,6499,1643,108
influencer_199,campaign_10,62087,3587,625,1756
influencer_200,campaign_4,96839,1233,337,272
influencer_201,campaign_5,69840,3996,1015,1260
influencer_202,campaign_4,55384,3535,563,1005
influencer_203,campaign_6,52005,1702,397,422
influencer_204,campaign_3,47576,1339,442,439
influencer_205,campaign_8,40353,1587,446,252
influencer_206,campaign_6,63003,795,225,227
influencer_207,campaign_10,84211,1904,318,285
influencer_208,campaign_5,53733,308,52,78
influencer_209,campaign_2,66318,3718,982,406
influencer_210,campaign_10,90474,4568,1292,1322
influencer_211,campaign_10,24664,1193,297,136
influencer_212,campaign_7,68172,2812,663,582
influencer_213,campaign_2,86616,1835,466,583
influencer_214,campaign_1,94264,1579,256,730
influencer_215,campaign_7,27736,1170,305,266
influencer_216,campaign_5,95209,2697,544,628
influencer_217,campaign_1,1854,82,24,17
influencer_218,campaign_4,91084,6583,1642,330
influencer_219,campaign_4,39623,1335,328,225
influencer_220,campaign_10,8392,463,102,31
influencer_221,campaign_7,56680,3787,1036,833
influencer_222,campaign_9,47717,2510,450,441
influencer_223,campaign_2,88092,5471,854,689
influencer_224,campaign_1,51859,2265,664,411
influencer_225,campaign_2,27309,889,190,299
influencer_226,campaign_7,88455,3651,951,1334
influencer_227,campaign_10,64734,4658,645,747
influencer_228,campaign_6,71467,5252,825,1024
influencer_229,campaign_4,53662,209,60,62
influencer_230,campaign_1,99506,453,123,126
influencer_231,campaign_1,13688,627,144,59
influencer_232,campaign_5,26342,200,31,27
influencer_233,campaign_1,38157,1600,256,340
influencer_234,campaign_7,68863,4695,711,1324
influencer_235,campaign_1,53083,3579,848,564
influencer_236,campaign_1,66733,2809,378,476
influencer_237,campaign_2,90045,1905,295,546
influencer_238,campaign_10,35698,1745,327,500
influencer_239,campaign_3,81623,322,79,33
influencer_240,campaign_1,23671,717,123,166
influencer_241,campaign_9,26184,1010,249,419
influencer_242,campaign_10,94384,4896,863,489
influencer_243,campaign_8,43107,2409,645,295
influencer_244,campaign_5,87202,2480,705,551
influencer_245,campaign_2,52663,319,55,135
influencer_246,campaign_5,16708,855,264,302
influencer_247,campaign_6,92906,2671,623,1153
influencer_248,campaign_1,50811,837,193,125
influencer_249,campaign_4,3811,118,32,45
influencer_250,campaign_9,57250,3619,890,356
influencer_251,campaign_2,73082,1366,232,159
influencer_252,campaign_5,35754,172,43,9
influencer_253,campaign_1,96742,4206,814,1488
influencer_254,campaign_4,12411,477,70,65
influencer_255,campaign_4,3911,214,58,54
influencer_256,campaign_6,68270,4324,861,1124
influencer_257,campaign_10,84763,4858,1159,866
influencer_258,campaign_9,9680,391,114,116
influencer_259,campaign_3,85896,1594,253,180
influencer_260,campaign_9,84879,4166,835,1341
influencer_261,campaign_6,72295,1866,387,237
influencer_262,campaign_7,89614,5267,1347,1350
influencer_263,campaign_10,12111,583,129,214
influencer_264,campaign_2,38504,1314,258,386
influencer_265,campaign_10,2802,126,33,37
influencer_266,campaign_6,9155,612,138,109
influencer_267,campaign_6,74656,666,110,86
influencer_268,campaign_2,40384,2038,408,115
influencer_269,campaign_2,48254,2455,377,731
influencer_270,campaign_2,22918,1123,314,414
influencer_271,campaign_10,86981,482,72,70
influencer_272,campaign_1,61713,2390,484,449
influencer_273,campaign_5,31306,810,153,206
influencer_274,campaign_8,17646,552,128,142
influencer_275,campaign_2,47843,1053,198,69
influencer_276,campaign_5,97601,1591,427,270
influencer_277,campaign_8,91735,476,100,72
influencer_278,campaign_10,17371,279,50,37
influencer_279,campaign_5,78371,1974,422,183
influencer_280,campaign_2,3049,199,47,29
influencer_281,campaign_3,32616,1682,489,583
influencer_282,campaign_6,21932,852,209,327
influencer_283,campaign_5,30855,295,61,39
influencer_284,campaign_4,62434,3799,958,1211
influencer_285,campaign_4,73694,1336,318,195
influencer_286,campaign_5,44016,2472,600,168
influencer_287,campaign_2,8400,68,17,18
influencer_288,campaign_9,43642,1458,354,473
influencer_289,campaign_2,16151,477,127,101
influencer_290,campaign_10,52407,1386,242,663
influencer_291,campaign_2,67690,4629,986,229
influencer_292,campaign_10,5499,170,36,11
influencer_293,campaign_9,7295,467,85,69
influencer_294,campaign_3,60040,1930,391,709
influencer_295,campaign_10,13183,809,179,52
influencer_296,campaign_7,30299,919,157,414
influencer_297,campaign_4,13874,389,90,83
influencer_298,campaign_6,33711,150,25,14
influencer_299,campaign_4,6539,395,63,101
influencer_300,campaign_10,54351,3256,670,463
influencer_301,campaign_7,62267,2071,555,729
influencer_302,campaign_1,49354,2795,570,1154
influencer_303,campaign_3,3557,211,53,58
influencer_304,campaign_3,39360,1579,310,307
influencer_305,campaign_1,83018,1695,485,601
influencer_306,campaign_6,3200,177,39,26
influencer_307,campaign_9,69497,1182,353,421
influencer_308,campaign_8,47975,1638,273,567
influencer_309,campaign_7,22357,164,44,37
influencer_310,campaign_10,78505,5645,1390,209
influencer_311,campaign_8,3869,248,42,62
influencer_312,campaign_6,62135,3227,636,1158
influencer_313,campaign_9,51108,975,183,230
influencer_314,campaign_3,95179,1290,350,229
influencer_315,campaign_10,91272,4190,646,567
influencer_316,campaign_10,39467,588,120,115
influencer_317,campaign_9,24328,1249,288,110
influencer_318,campaign_4,92412,5936,1053,1745
influencer_319,campaign_7,87831,3132,648,1255
influencer_320,campaign_9,4987,83,13,27
influencer_321,campaign_2,59871,351,77,52
influencer_322,campaign_2,23399,1237,188,266
influencer_323,campaign_9,47214,964,284,293
influencer_324,campaign_3,87416,4250,890,1499
influencer_325,campaign_9,71271,4960,1242,699
influencer_326,campaign_5,45064,871,242,245
influencer_327,campaign_6,71091,3671,774,542
influencer_328,campaign_2,41818,1828,310,310
influencer_329,campaign_8,46525,1386,234,171
influencer_330,campaign_9,20830,877,236,72
influencer_331,campaign_2,18429,585,157,112
influencer_332,campaign_6,7893,479,94,70
influencer_333,campaign_6,80909,2088,542,264
influencer_334,campaign_8,48333,2672,614,1013
influencer_335,campaign_10,4436,173,36,9
influencer_336,campaign_5,75290,1990,514,785
influencer_337,campaign_9,77213,835,191,64
influencer_338,campaign_1,6895,230,63,43
influencer_339,campaign_9,20738,436,130,105
influencer_340,campaign_10,31746,1985,310,304
influencer_341,campaign_7,50377,567,115,255
influencer_342,campaign_4,49404,2514,670,696
influencer_343,campaign_3,55045,1081,315,196
influencer_344,campaign_10,98888,1886,363,545
influencer_345,campaign_6,40790,438,86,104
influencer_346,campaign_1,6600,357,72,39
influencer_347,campaign_3,95660,557,81,132
influencer_348,campaign_2,94179,4410,716,859
influencer_349,campaign_9,41764,2705,627,127
influencer_350,campaign_3,75543,1841,491,235
influencer_351,campaign_2,46714,1265,167,224
influencer_352,campaign_4,57835,232,54,23
influencer_353,campaign_2,74744,4696,667,612
influencer_354,campaign_1,57491,1213,182,159
influencer_355,campaign_6,19589,965,148,254
influencer_356,campaign_10,44484,1004,264,159
influencer_357,campaign_8,83989,4393,907,765
influencer_358,campaign_10,37212,774,174,293
influencer_359,campaign_10,44525,220,49,74
influencer_360,campaign_2,48202,1313,342,502
influencer_361,campaign_9,33635,1184,373,367
influencer_362,campaign_3,64208,714,92,121
influencer_363,campaign_8,34828,1867,543,683
influencer_364,campaign_8,19711,579,108,88
influencer_365,campaign_3,4420,38,5,8
influencer_366,campaign_3,97752,5522,1338,2191
influencer_367,campaign_6,1301,64,11,20
influencer_368,campaign_1,46236,2698,685,182
influencer_369,campaign_4,67235,1920,373,445
influencer_370,campaign_1,55240,1219,217,189
influencer_371,campaign_3,66726,2074,521,452
influencer_372,campaign_9,11492,776,155,128
influencer_373,campaign_5,7102,408,59,94
influencer_374,campaign_5,51336,439,105,179
influencer_375,campaign_4,86314,4772,997,1434
influencer_376,campaign_3,27641,1938,420,168
influencer_377,campaign_5,35584,672,109,298
influencer_378,campaign_4,33745,336,79,96
influencer_379,campaign_8,24093,166,31,69
influencer_380,campaign_4,67105,3155,676,533
influencer_381,campaign_8,52885,1026,166,330
influencer_382,campaign_6,37631,777,197,23
influencer_383,campaign_5,73991,3855,808,259
influencer_384,campaign_4,5014,31,4,5
influencer_385,campaign_4,12093,549,117,178
influencer_386,campaign_4,19070,869,158,238
influencer_387,campaign_9,36777,903,264,185
influencer_388,campaign_4,57958,3241,562,883
influencer_389,campaign_9,83074,4303,824,1688
influencer_390,campaign_10,11729,361,52,53
influencer_391,campaign_6,46017,533,97,134
influencer_392,campaign_10,67320,2742,570,661
influencer_393,campaign_7,28751,282,81,86
influencer_394,campaign_10,79069,4560,784,1705
influencer_395,campaign_3,55748,404,96,61
influencer_396,campaign_8,6801,201,46,27
influencer_397,campaign_3,20190,1160,225,509
influencer_398,campaign_1,50689,451,104,28
influencer_399,campaign_10,51993,1910,394,794
influencer_400,campaign_5,30592,724,128,166
influencer_401,campaign_2,11647,102,17,19
influencer_402,campaign_10,9716,291,83,92
influencer_403,campaign_6,89891,4118,789,371
influencer_404,campaign_10,88545,6507,1318,536
influencer_405,campaign_9,90912,5662,1163,1695
influencer_406,campaign_1,71316,476,114,74
influencer_407,campaign_4,3368,166,38,60
influencer_408,campaign_1,78575,1254,198,261
influencer_409,campaign_1,7655,449,89,157
influencer_410,campaign_8,71031,4217,624,1256
influencer_411,campaign_2,77429,2483,799,743
influencer_412,campaign_1,92083,3650,876,1079
influencer_413,campaign_8,88922,830,210,53
influencer_414,campaign_4,56766,3341,662,996
influencer_415,campaign_3,14403,87,18,15
influencer_416,campaign_4,33097,1257,187,165
influencer_417,campaign_5,79657,289,57,125
influencer_418,campaign_1,11966,67,12,18
influencer_419,campaign_1,94848,1575,252,273
influencer_420,campaign_3,53921,2539,573,679
influencer_421,campaign_6,50726,2887,713,1153
influencer_422,campaign_1,51300,3171,564,685
influencer_423,campaign_2,23677,744,191,77
influencer_424,campaign_7,56609,308,66,129
influencer_425,campaign_1,97825,1731,323,598
influencer_426,campaign_7,57661,851,263,246
influencer_427,campaign_4,32024,383,74,141
influencer_428,campaign_10,71313,5015,1194,468
influencer_429,campaign_6,54006,619,113,75
influencer_430,campaign_8,96285,2063,525,297
influencer_431,campaign_9,16338,1003,248,39
influencer_432,campaign_6,69027,1305,193,408
influencer_433,campaign_9,93772,5237,1545,1520
influencer_434,campaign_4,81135,1983,305,656
influencer_435,campaign_6,20508,574,75,90
influencer_436,campaign_8,4051,106,24,46
influencer_437,campaign_9,49747,692,199,173
influencer_438,campaign_3,88142,2678,650,763
influencer_439,campaign_2,88235,1063,252,317
influencer_440,campaign_6,55021,1115,226,175
influencer_441,campaign_4,67412,4169,589,522
influencer_442,campaign_1,59335,1449,251,483
influencer_443,campaign_8,57179,3524,695,468
influencer_444,campaign_9,33093,1135,288,433
influencer_445,campaign_9,70678,4049,716,901
influencer_446,campaign_2,81738,3759,863,970
influencer_447,campaign_9,40734,1413,359,318
influencer_448,campaign_7,73615,3936,1266,1347
influencer_449,campaign_5,74523,2955,740,298
influencer_450,campaign_7,95476,3615,555,544
influencer_451,campaign_9,18019,264,67,31
influencer_452,campaign_8,84613,5535,1158,903
influencer_453,campaign_6,92794,2694,446,245
influencer_454,campaign_4,87672,4687,1067,882
influencer_455,campaign_1,74847,2515,498,159
influencer_456,campaign_6,83750,4739,1239,1902
influencer_457,campaign_3,80634,4416,1123,357
influencer_458,campaign_6,29251,94,23,41
influencer_459,campaign_6,26945,166,25,18
influencer_460,campaign_4,91852,2805,697,1081
influencer_461,campaign_2,33217,831,182,352
influencer_462,campaign_9,9308,312,47,33
influencer_463,campaign_2,6949,314,70,10
influencer_464,campaign_3,52990,4178,784,303
influencer_465,campaign_10,2150,94,21,37
influencer_466,campaign_1,90480,5192,1261,953
influencer_467,campaign_7,75740,3737,1077,930
influencer_468,campaign_1,67617,2112,613,566
influencer_469,campaign_9,95841,3212,663,408
influencer_470,campaign_1,17896,562,116,60
influencer_471,campaign_5,47175,1235,376,375
influencer_472,campaign_7,8805,56,9,8
influencer_473,campaign_3,6237,321,47,42
influencer_474,campaign_9,21056,932,217,90
influencer_475,campaign_8,46543,1852,449,255
influencer_476,campaign_3,57556,3676,661,549
influencer_477,campaign_5,4343,296,44,92
influencer_478,campaign_7,14500,357,64,151
influencer_479,campaign_4,54222,1050,290,381
influencer_480,campaign_5,30375,233,39,93
influencer_481,campaign_3,10662,76,18,23
influencer_482,campaign_9,17964,1345,325,66
influencer_483,campaign_10,60638,859,141,317
influencer_484,campaign_9,74666,3619,917,1359
influencer_485,campaign_7,86067,1593,489,375
influencer_486,campaign_10,68215,4024,824,397
influencer_487,campaign_2,70042,4480,1195,470
influencer_488,campaign_7,14284,325,76,52
influencer_489,campaign_7,73789,2423,618,82
influencer_490,campaign_5,85664,3014,654,778
influencer_491,campaign_9,94468,5923,848,1354
influencer_492,campaign_3,62389,2127,626,772
influencer_493,campaign_4,10435,261,67,49
influencer_494,campaign_1,55340,328,72,120
influencer_495,campaign_6,45078,807,241,162
influencer_496,campaign_4,79832,5172,1289,198
influencer_497,campaign_1,52293,1289,241,425
influencer_498,campaign_2,96981,5984,1005,1143
influencer_499,campaign_3,79781,2283,497,476
influencer_500,campaign_9,61403,3712,1047,732
influencer_501,campaign_8,30124,1058,272,83
influencer_502,campaign_7,96435,5377,1060,2359
influencer_503,campaign_4,44919,1550,370,339
influencer_504,campaign_1,36247,2137,498,799
influencer_505,campaign_8,95758,1735,437,57
influencer_506,campaign_4,92747,2905,835,941
influencer_507,campaign_3,63752,3046,856,638
influencer_508,campaign_9,57573,4002,880,743
influencer_509,campaign_10,60101,1433,287,279
influencer_510,campaign_4,27646,571,116,244
influencer_511,campaign_4,24049,405,91,76
influencer_512,campaign_9,80605,3430,719,914
influencer_513,campaign_2,99116,5805,1659,886
influencer_514,campaign_5,98379,3357,483,760
influencer_515,campaign_4,69385,3584,903,166
influencer_516,campaign_9,41158,2694,646,765
influencer_517,campaign_5,66417,2263,367,545
influencer_518,campaign_9,24289,1638,303,155
influencer_519,campaign_9,10823,214,57,71
influencer_520,campaign_2,61160,1656,354,109
influencer_521,campaign_9,42975,2028,298,524
influencer_522,campaign_3,10540,714,196,75
influencer_523,campaign_4,17364,721,102,150
influencer_524,campaign_1,5611,274,64,26
influencer_525,campaign_1,28663,1445,442,353
influencer_526,campaign_1,52991,3244,1021,1009
influencer_527,campaign_9,58679,1406,255,245
influencer_528,campaign_8,31977,1922,464,713
influencer_529,campaign_5,95704,2906,719,745
influencer_530,campaign_5,50115,649,173,52
influencer_531,campaign_9,92007,5783,1018,691
influencer_532,campaign_3,89223,2250,334,615
influencer_533,campaign_3,61890,3688,1116,1063
influencer_534,campaign_7,67387,666,100,106
influencer_535,campaign_9,19071,121,20,23
influencer_536,campaign_6,60275,3122,486,784
influencer_537,campaign_2,73369,4738,1190,935
influencer_538,campaign_1,12938,490,88,102
influencer_539,campaign_2,36195,615,125,129
influencer_540,campaign_1,92680,2863,658,377
influencer_541,campaign_10,5000,30,6,10
influencer_542,campaign_10,71588,657,106,253
influencer_543,campaign_9,94610,7044,1025,1358
influencer_544,campaign_10,98856,508,98,78
influencer_545,campaign_8,39304,2459,501,174
influencer_546,campaign_7,70449,1213,313,78
influencer_547,campaign_3,83986,3718,675,656
influencer_548,campaign_8,90643,2792,720,226
influencer_549,campaign_2,21764,1067,165,177
influencer_550,campaign_2,87027,1544,257,386
influencer_551,campaign_10,39494,1697,462,420
influencer_552,campaign_3,4373,247,42,68
influencer_553,campaign_7,13161,697,141,36
influencer_554,campaign_1,98532,499,109,219
influencer_555,campaign_8,93658,1685,407,118
influencer_556,campaign_7,28350,557,103,178
influencer_557,campaign_4,94008,6011,1421,1150
influencer_558,campaign_5,95297,3076,587,574
influencer_559,campaign_10,26351,713,156,113
influencer_560,campaign_1,89668,1856,403,689
influencer_561,campaign_4,16305,525,138,61
influencer_562,campaign_1,76353,417,76,151
influencer_563,campaign_1,77797,2813,709,579
influencer_564,campaign_10,66953,1348,353,175
influencer_565,campaign_1,58458,4235,948,166
influencer_566,campaign_7,21358,1258,232,455
influencer_567,campaign_7,4267,17,4,2
influencer_568,campaign_4,83745,1385,332,188
influencer_569,campaign_2,90588,6152,1661,622
influencer_570,campaign_3,39513,998,230,263
influencer_571,campaign_8,27092,673,194,255
influencer_572,campaign_8,12338,705,126,111
influencer_573,campaign_6,1412,51,7,19
influencer_574,campaign_10,8543,311,53,135
influencer_575,campaign_9,34496,1593,518,537
influencer_576,campaign_9,61692,2651,352,325
influencer_577,campaign_4,90084,3646,1003,795
influencer_578,campaign_1,93920,2407,685,600
influencer_579,campaign_1,45425,1112,256,475
influencer_580,campaign_10,39756,1737,382,551
influencer_581,campaign_5,19888,147,36,23
influencer_582,campaign_2,36735,1112,176,338
influencer_583,campaign_6,48295,736,172,259
influencer_584,campaign_7,84042,3668,498,479
influencer_585,campaign_1,86999,3802,817,773
influencer_586,campaign_6,18955,1068,173,426
influencer_587,campaign_8,38841,1788,272,614
influencer_588,campaign_5,71640,1369,334,366
influencer_589,campaign_7,66510,971,210,242
influencer_590,campaign_10,35911,1387,182,177
influencer_591,campaign_6,60031,4099,1027,597
influencer_592,campaign_4,89726,2843,773,501
influencer_593,campaign_7,8357,487,90,176
influencer_594,campaign_10,33479,1361,230,154
influencer_595,campaign_9,62476,3101,743,338
influencer_596,campaign_10,45811,1825,527,331
influencer_597,campaign_10,37208,1749,315,282
influencer_598,campaign_7,21150,945,180,326
influencer_599,campaign_5,72180,3705,885,671
influencer_600,campaign_7,44286,975,195,185
influencer_601,campaign_3,69450,2820,735,730
influencer_602,campaign_2,22352,1188,237,398
influencer_603,campaign_5,56069,2810,647,345
influencer_604,campaign_4,15397,729,149,197
influencer_605,campaign_5,42555,784,210,248
influencer_606,campaign_8,47959,522,121,21
influencer_607,campaign_4,1728,116,20,13
influencer_608,campaign_9,51517,2779,449,1173
influencer_609,campaign_7,67234,3289,1063,997
influencer_610,campaign_10,40954,2124,352,354
influencer_611,campaign_7,48280,2028,612,692
influencer_612,campaign_8,80459,1255,207,236
influencer_613,campaign_6,17779,142,23,39
influencer_614,campaign_8,64932,3123,647,1054
influencer_615,campaign_3,73936,2861,600,894
influencer_616,campaign_10,25466,1335,227,538
influencer_617,campaign_10,37939,940,211,222
influencer_618,campaign_1,70896,2169,297,396
influencer_619,campaign_6,36270,1128,274,267
influencer_620,campaign_1,60163,4088,1156,579
influencer_621,campaign_9,83637,1708,328,783
influencer_622,campaign_2,52934,1493,246,512
influencer_623,campaign_2,65895,2027,340,670
influencer_624,campaign_7,33307,857,143,103
influencer_625,campaign_2,55098,2898,572,542
influencer_626,campaign_10,61921,1155,273,287
influencer_627,campaign_8,6486,159,27,62
influencer_628,campaign_6,9335,568,134,124
influencer_629,campaign_7,87900,3511,701,322
influencer_630,campaign_7,90112,3583,785,198
influencer_631,campaign_6,98203,973,273,285
influencer_632,campaign_10,12130,725,159,139
influencer_633,campaign_9,88508,3958,966,831
influencer_634,campaign_9,61566,746,164,32
influencer_635,campaign_7,67703,2917,510,971
influencer_636,campaign_9,28192,905,202,130
influencer_637,campaign_10,2062,61,15,9
influencer_638,campaign_3,85076,439,112,86
influencer_639,campaign_3,90780,3770,783,610
influencer_640,campaign_1,22545,1366,333,538
